,Staatsforst,Privat,Summe,Fallwild allg.,Fallwild Verkehr
Rotwild,10,2,12,1,0
Damwild,18,11,29,2,0
Schwarzwild,77,75,152,5,1
Rehwild insg.,176,957,1133,124,249
Bockkitze,17,51,68,6,18
Jährlinge,32,149,181,12,26
Böcke,22,216,238,19,38
Summe männlich,71,416,487,37,82
Rehkitze,34,166,200,36,37
Schmalrehe,25,173,198,23,50
Ricken,46,202,248,28,80
Summe weiblich,105,541,646,87,167
Feldhase,0,783,783,64,94
Wildkaninchen,0,979,979,11,16
Fuchs,1,438,439,12,26
Steinmarder,1,172,173,3,42
Dachs,0,6,6,0,2
Waschbär,0,4,4,0,1
Marderhund,0,25,25,0,5
Baummarder,0,1,1,0,1
Iltis,0,6,6,1,5
Hermelin,0,7,7,0,7
Mauswiesel,0,6,6,0,6
Summe,2,2427,2429,91,205
Fasan,0,528,528,86,25
Stockente,0,1312,1312,29,32
Reiherente,0,8,8,0,0
Ringeltaube,0,816,816,34,0
Graugans,0,263,263,3,0
Kanadagans,0,104,104,0,0
Rabenkrähe,0,1249,1249,1,0
Elster,0,346,346,0,0
Höckerschwan,0,20,20,8,0
Blässgans,0,0,0,0,0
Saatgans,0,0,0,0,0
Ringelgans,0,0,0,0,0
Pfeifente,0,0,0,0,0
Krickente,0,0,0,0,0
Spießente,0,0,0,0,0
Bergente,0,0,0,0,0
Tafelente,0,0,0,0,0
Samtente,0,0,0,0,0
Trauerente,0,0,0,0,0
Waldschnepfe,0,0,0,0,0
Blässhuhn,0,0,0,0,0
Lachmöwe,0,0,0,0,0
Silbermöwe,0,0,0,0,0
Sturmmöwe,0,0,0,0,0
Mantelmöwe,0,0,0,0,0
Heringsmöwe,0,0,0,0,0
Rebhuhn,0,0,0,0,0
Türkentaube,0,0,0,0,0
Summe,0,4646,4646,161,57
wildernde Hunde,0,3,3,0,0
wildernde Katzen,0,34,34,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
